代币名称/币种名称/币对,保证金模式,持仓方向,入场价格,平均收盘价,最大未平仓合约,已平仓量,结算盈亏,已打开,已关闭,状态
XRPUSDT,Cross,Short,1.3208,1.3201,82.1,82.1,0.05747,26-04-07 07:46:06,26-04-07 07:51:07,Closed
XRPUSDT,Cross,Short,1.3145,1.3169,153.3,153.3,-0.36792,26-04-07 07:16:15,26-04-07 07:25:51,Closed
ETHUSDT,Cross,Long,2145.29,2116.57,0.047,0.047,-1.34984,26-04-07 05:21:14,26-04-07 06:53:10,Closed
ETHUSDT,Cross,Long,2134.28,2146.99,0.047,0.047,0.59737,26-04-07 01:26:09,26-04-07 04:20:51,Closed
BTCUSDT,Cross,Long,69578.6,69597.7,0.002,0.002,0.03819999,26-04-06 22:31:32,26-04-06 23:21:02,Closed
XRPUSDT,Cross,Short,1.3423,1.3436,103.2,103.2,-0.13416,26-04-06 21:01:41,26-04-06 21:05:57,Closed
XRPUSDT,Cross,Short,1.3429,1.3431,118.4,118.4,-0.02368,26-04-06 20:51:11,26-04-06 20:55:56,Closed
XRPUSDT,Cross,Short,1.3437,1.3437,74.4,74.4,0,26-04-06 20:41:32,26-04-06 20:45:43,Closed
XRPUSDT,Cross,Short,1.3469,1.3454,74.2,74.2,0.1113,26-04-06 20:21:31,26-04-06 20:35:59,Closed
XRPUSDT,Cross,Short,1.3503,1.3501,168.2,168.2,0.03363999,26-04-06 19:36:13,26-04-06 19:40:50,Closed
XRPUSDT,Cross,Short,1.3532,1.3512,76.3,76.3,0.1526,26-04-06 18:56:11,26-04-06 19:08:40,Closed
XRPUSDT,Cross,Short,1.3534,1.3533,120.1,120.1,0.01200999,26-04-06 18:36:22,26-04-06 18:50:38,Closed
